               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.023354,            0.010801,           0.0098625,              0.9463,             0.99368,             0.98239,             0.87592,             0.01277,            0.005756,            0.005096,           0.0071125,           0.0071125,           0.0071125
                  37,            0.023229,            0.010762,           0.0098576,             0.95362,             0.98345,             0.98307,             0.87592,            0.012662,           0.0057546,           0.0049516,             0.00703,             0.00703,             0.00703
                  38,            0.023277,            0.010765,            0.010472,             0.95501,             0.98241,             0.98307,             0.87793,            0.012609,           0.0057041,           0.0048749,           0.0069475,           0.0069475,           0.0069475
                  39,            0.022934,            0.010903,            0.010934,             0.94835,             0.99164,             0.98231,             0.87873,            0.012377,           0.0056936,           0.0047493,            0.006865,            0.006865,            0.006865
                  40,            0.022722,            0.010646,           0.0096744,             0.94677,             0.99507,             0.98314,             0.87891,            0.012353,           0.0056494,           0.0046706,           0.0067825,           0.0067825,           0.0067825
                  41,            0.022542,            0.010634,           0.0092574,              0.9498,             0.98926,             0.98249,             0.87307,            0.012572,           0.0057484,           0.0046241,              0.0067,              0.0067,              0.0067
                  42,            0.022757,            0.010524,           0.0091125,               0.951,             0.98921,              0.9827,             0.87483,             0.01252,           0.0057411,           0.0045442,           0.0066175,           0.0066175,           0.0066175
                  43,            0.022389,            0.010576,           0.0095108,             0.95276,             0.98668,              0.9827,             0.87891,            0.012262,           0.0056449,           0.0044719,            0.006535,            0.006535,            0.006535
                  44,            0.022377,            0.010875,             0.01012,             0.95757,             0.98426,             0.98389,             0.88059,            0.012105,           0.0056267,           0.0043573,           0.0064525,           0.0064525,           0.0064525
                  45,            0.022389,            0.010562,           0.0088701,             0.95811,             0.98818,             0.98487,             0.87626,            0.012357,           0.0056253,           0.0042696,             0.00637,             0.00637,             0.00637
                  46,            0.022003,            0.010361,            0.008925,             0.96158,             0.98317,             0.98512,             0.87953,            0.012164,           0.0055646,           0.0042137,           0.0062875,           0.0062875,           0.0062875
                  47,            0.021646,            0.010302,           0.0086666,             0.96126,             0.98307,             0.98493,             0.88255,            0.011869,           0.0055046,           0.0041521,            0.006205,            0.006205,            0.006205
                  48,            0.021634,            0.010456,           0.0090495,             0.95702,             0.98857,             0.98459,             0.88367,             0.01179,           0.0054685,           0.0041122,           0.0061225,           0.0061225,           0.0061225
                  49,            0.021574,            0.010094,           0.0083076,             0.95561,             0.99097,             0.98471,             0.88496,            0.011702,           0.0054363,           0.0040634,             0.00604,             0.00604,             0.00604
                  50,             0.02125,            0.010022,           0.0080602,             0.95594,             0.99051,             0.98508,              0.8866,            0.011652,           0.0054034,           0.0040121,           0.0059575,           0.0059575,           0.0059575
                  51,            0.020955,           0.0099518,           0.0078368,             0.95779,             0.98889,             0.98555,             0.88757,            0.011589,           0.0053726,           0.0039578,            0.005875,            0.005875,            0.005875
                  52,            0.020735,           0.0099332,           0.0076828,             0.96482,             0.97933,             0.98539,             0.88881,            0.011482,           0.0053524,             0.00391,           0.0057925,           0.0057925,           0.0057925
                  53,            0.020964,            0.010261,            0.008341,             0.96605,              0.9808,               0.986,             0.89089,            0.011405,           0.0053199,            0.003861,             0.00571,             0.00571,             0.00571
                  54,            0.020577,           0.0098654,           0.0078179,             0.96695,             0.98134,             0.98608,              0.8917,            0.011317,           0.0053024,           0.0038251,           0.0056275,           0.0056275,           0.0056275
                  55,            0.020447,           0.0098282,           0.0074768,             0.96245,             0.98868,             0.98659,             0.89318,            0.011251,           0.0052704,           0.0037951,            0.005545,            0.005545,            0.005545
                  56,            0.020151,           0.0097598,           0.0074267,             0.97099,             0.97931,             0.98672,             0.89399,            0.011203,           0.0052461,           0.0037556,           0.0054625,           0.0054625,           0.0054625
                  57,            0.020238,           0.0097485,           0.0077791,             0.96624,             0.98406,             0.98676,             0.89481,            0.011159,           0.0052286,           0.0037239,             0.00538,             0.00538,             0.00538
                  58,             0.01994,           0.0096003,           0.0072956,             0.96754,             0.98359,             0.98694,             0.89541,            0.011101,            0.005209,            0.003685,           0.0052975,           0.0052975,           0.0052975
